버스정류장코드,시도명,시군코드,버스정류장명,측정시간,측정원본시간,미세먼지PM2점5측정값,미세먼지PM10측정값,일산화탄소측정값,이산화황측정값,이산화질소측정값,외부온도측정값,외부습도측정값,풍향,풍속측정값
06049,성남시,41130,상대원고개,2020-09-08 15:29:33,1599578973,8,11,0.074,0.001,0.097,26.9,47.6,W ,0.3
07103,성남시,41130,대원사거리.까치마을,2020-09-08 15:25:58,1599578758,8,9,0.271,0,0,27.9,46.3,SW,2.7
07060,성남시,41130,하얀마을.구미도서관,2020-09-08 15:26:53,1599578813,10,15,0.23,0,0.09,28.3,46.3,SE,0.5
07270,성남시,41130,목련마을한신아파트,2020-09-08 15:22:06,1599578526,6,7,0.239,0,0.143,27.1,49.9,N ,0
07045,성남시,41130,미금역.2001아울렛,2020-09-08 15:21:22,1599578482,14,17,0.46,0,0.054,26.5,51.4,W ,1.3
05033,성남시,41130,성남수정경찰서,2020-09-08 15:26:00,1599578760,14,19,0,0,0.025,26.9,47.7,SW,2
07059,성남시,41130,농수산물센터,2020-09-08 15:20:29,1599578429,11,14,0.138,0,0.091,26.9,49.1,SW,2
05073,성남시,41130,태평제일교회,2020-09-08 15:26:59,1599578819,9,11,0,0.001,0.072,28.2,44.2,N ,1.3
05036,성남시,41130,모란고개,2020-09-08 15:21:59,1599578519,9,12,0,0,0.09,27.2,47.3,SW,1.3
07155,성남시,41130,푸른마을,2020-09-08 15:25:31,1599578731,13,18,0,0.002,0.065,28.4,46.3,SE,0
07502,성남시,41130,판교도서관.판교청소년수련관,2020-09-08 15:24:41,1599578681,9,12,0.371,0,0.046,26.9,49.7,S ,0.3
07498,성남시,41130,삼평교,2020-09-08 15:19:23,1599578363,10,13,0.136,0,0.152,27.3,48.9,E ,2
06349,성남시,41130,상대원1동행정복지센터,2020-09-08 15:26:31,1599578791,7,8,0,0,0.056,27.6,45,W ,1.7
05135,성남시,41130,을지대학교.생활관,2020-09-08 15:21:03,1599578463,9,14,0,0.029,0.047,26.6,49.5,N ,0
05008,성남시,41130,고등동우체국,2020-09-08 15:27:53,1599578873,10,13,0,0.051,0.092,29.7,41.8,NW,1.3
05142,성남시,41130,복정초등학교,2020-09-08 15:29:09,1599578949,8,10,0,0,0.074,28.2,47.7,W ,1.3
07283,성남시,41130,영남아파트,2020-09-08 15:27:18,1599578838,8,10,0,0,0.044,26.6,49.7,NW,1.7
05021,성남시,41130,신촌동앞,2020-09-08 15:26:00,1599578760,10,12,0,0.075,0.05,27.2,50.9,N ,0.7
06195,성남시,41130,도촌3단지,2020-09-08 15:29:01,1599578941,8,10,0,0.019,0.041,27.3,48.9,S ,0.7
05140,성남시,41130,성남초교사거리,2020-09-08 15:20:42,1599578442,10,12,0,0,0.065,28.5,43.5,W ,1
07561,성남시,41130,이매촌한신.서현역.AK프라자,2020-09-08 15:23:02,1599578582,9,11,0,0.002,0.073,27.1,51.1,E ,0.9
05322,성남시,41130,위례새초롱유치원,2020-09-08 15:29:22,1599578962,7,8,0,0,0.065,26.6,50.7,SE,0
06210,성남시,41130,(구)단대동주민센터,2020-09-08 15:25:46,1599578746,9,11,0,0,0.025,26.8,47.6,SE,3.2
06070,성남시,41130,은행동현대아파트,2020-09-08 15:30:11,1599579011,6,8,0,0.026,0.097,27.9,45,W ,1
06206,성남시,41130,성남우체국,2020-09-08 15:29:54,1599578994,7,10,0.008,0,0.058,28.1,44.6,E ,2.3
07110,성남시,41130,주공4단지,2020-09-08 15:21:02,1599578462,8,12,0.018,0.018,0.078,26.8,49.5,SW,1
07624,성남시,41130,정자역,2020-09-08 15:30:14,1599579014,13,16,0,0,0.118,27.6,52,NE,0.2
07029,성남시,41130,로얄냉장,2020-09-08 15:26:56,1599578816,14,17,0.032,0,0.078,27.6,47.2,SE,1.8
05183,성남시,41130,송현초등학교.판교이지더원2단지,2020-09-08 15:22:47,1599578567,9,10,0.161,0,0.098,27.8,47.6,SW,2.1
07515,성남시,41130,뫼루니육교,2020-09-08 15:22:41,1599578561,9,13,0.247,0,0.096,26.4,50.5,SW,1.3
07092,성남시,41130,주공7단지.한솔종합사회복지관,2020-09-08 15:21:12,1599578472,9,12,0.026,0.08,0.073,27.3,49.3,W ,2
05070,성남시,41130,수진역.성호시장.성일중고입구,2020-09-08 15:24:07,1599578647,10,13,0.429,0.014,0.017,28.4,44,SW,1.8
07220,성남시,41130,평생학습원. 중앙도서관,2020-09-08 15:21:02,1599578462,6,9,0,0,0,26.8,51,NE,0
07163,성남시,41130,한솔마을청구아파트,2020-09-08 15:24:33,1599578673,6,8,0,0.001,0.088,28.4,47.5,S ,0
23305,남양주시,41360,금곡예비군훈련장.충일아파트,2020-09-08 15:27:25,1599578845,18,25,1.383,0.071,0.079,28.2,49.9,NW,1.9
49831,남양주시,41360,금강펜테리움 1차,2020-09-08 15:25:20,1599578720,21,32,0,0.001,0.125,27.6,51.8,SW,0.7
49689,남양주시,41360,도농고,2020-09-08 15:27:54,1599578874,23,35,0,0,0,28.5,49.2,S ,3
23087,남양주시,41360,롯데아파트.다산센트레빌,2020-09-08 15:25:33,1599578733,25,47,0,0,0.078,27.4,52.4,NW,1.8
49291,남양주시,41360,오남체육공원.대우푸르지오아파트,2020-09-08 15:21:47,1599578507,14,21,0,0,0.046,26.2,58.1,SE,0.3
23528,남양주시,41360,마석가구공단.천마산스키장입구,2020-09-08 15:20:30,1599578430,18,27,0,0,0.092,27.3,57,S ,0
49276,남양주시,41360,신동아아파트입구.한양병원,2020-09-08 15:21:48,1599578508,19,25,0,0,0.102,26.6,57.8,NE,2.3
23537,남양주시,41360,능내리봉안마을,2020-09-08 15:21:48,1599578508,14,21,0,0,0.078,28.2,49.8,NE,1.3
49174,남양주시,41360,롯데마트,2020-09-08 15:25:50,1599578750,12,16,0,0,0.126,26.8,52.2,SE,2.5
23935,남양주시,41360,진중삼거리,2020-09-08 15:29:07,1599578947,15,21,0,0.032,0.092,27.9,49.8,SW,0
23054,남양주시,41360,넉바위마을,2020-09-08 15:24:16,1599578656,18,26,0,0.013,0.075,27.6,52,N ,1.8
23220,남양주시,41360,지세마을,2020-09-08 15:27:27,1599578847,12,16,0,0,0.019,27.6,52,E ,4.1
23652,남양주시,41360,무량사,2020-09-08 15:20:13,1599578413,11,14,0,0.091,4.895,27.3,50.6,NE,0.7
49340,남양주시,41360,삼육대후문.논골.한화아파트,2020-09-08 15:23:09,1599578589,19,24,0,0.006,0.086,28,51.8,E ,0.8
23331,남양주시,41360,금곡동주민자치센터.장애인복지관.보훈회관.금강.명지A,2020-09-08 15:27:23,1599578843,0,0,0,0.115,0.113,26.8,55.8,SE,1
23363,남양주시,41360,홍유릉.금곡동주민센터.남양주고용복지플러스센터,2020-09-08 15:26:50,1599578810,27,47,0,0,0.053,28.6,49.1,SW,2.3
49350,남양주시,41360,대원칸타빌.모아미래도.유승한내들이든힐즈,2020-09-08 15:22:23,1599578543,16,20,0,0,0.05,28.2,52.7,N ,1
23336,남양주시,41360,인정프린스아파트.구금곡역,2020-09-08 15:20:38,1599578438,16,20,0.008,0,0.07,26.6,55,W ,2.9
07205,성남시,41130,새마을연수원입구,2020-08-24 13:34:10,1598276050,25,32,0,0.031,0.084,31.9,58.4,NW,0.3
05326,성남시,41130,위례중앙초등학교,2020-08-24 13:34:00,1598276040,23,28,0,0.074,0.012,35.1,51,N ,1.2
07444,성남시,41130,장안중학교후문,2020-08-24 13:39:41,1598276381,23,27,0.079,0,0.029,32,59.4,N ,0
06049,성남시,41130,상대원고개,2020-08-24 13:30:38,1598275838,19,23,0.085,0.011,0.093,32.4,56.6,W ,0.8
07103,성남시,41130,대원사거리.까치마을,2020-08-24 13:36:54,1598276214,19,22,0.153,0,0,31.7,59.7,E ,0.4
07060,성남시,41130,하얀마을.구미도서관,2020-08-24 13:37:55,1598276275,21,28,0.167,0.023,0.102,33.5,54.1,E ,0.7
07270,성남시,41130,목련마을한신아파트,2020-08-24 13:43:09,1598276589,21,26,0.225,0,0.1,31.2,61.7,N ,0
07045,성남시,41130,미금역.2001아울렛,2020-08-24 13:42:20,1598276540,18,20,0.46,0,0.054,31.6,57.5,W ,2
05033,성남시,41130,성남수정경찰서,2020-08-24 13:36:48,1598276208,29,34,0.014,0,0.091,32.2,57.1,N ,0.2
07059,성남시,41130,농수산물센터,2020-08-24 13:41:36,1598276496,19,23,0.113,0,0.073,32.2,57,S ,0.7
05073,성남시,41130,태평제일교회,2020-08-24 13:38:00,1598276280,23,31,0,0.004,0.081,34.3,51.1,NE,0.3
05036,성남시,41130,모란고개,2020-08-24 13:43:03,1598276583,21,26,0,0,0.099,33.1,53.5,SW,1
07155,성남시,41130,푸른마을,2020-08-24 13:36:39,1598276199,19,23,0,0.002,0.065,32.5,55.1,NE,2
07502,성남시,41130,판교도서관.판교청소년수련관,2020-08-24 13:35:26,1598276126,20,25,0.179,0,0.047,33.1,57.5,N ,0.9
07498,성남시,41130,삼평교,2020-08-24 13:40:29,1598276429,20,26,0.136,0,0.096,34.2,51.5,S ,1.2
06349,성남시,41130,상대원1동행정복지센터,2020-08-24 13:37:28,1598276248,20,24,0,0,0.056,31.8,58.6,W ,0.1
05135,성남시,41130,을지대학교.생활관,2020-08-24 13:42:04,1598276524,24,30,0,0.029,0.047,31.8,57.5,N ,0
05008,성남시,41130,고등동우체국,2020-08-24 13:38:55,1598276335,25,28,0,0.048,0.094,34.4,51.7,E ,1.3
05142,성남시,41130,복정초등학교,2020-08-24 13:40:11,1598276411,17,20,0,0,0.076,33.6,55.2,W ,0.2
07283,성남시,41130,영남아파트,2020-08-24 13:38:22,1598276302,18,20,0,0.002,0.059,30.7,65.7,W ,0.3
05021,성남시,41130,신촌동앞,2020-08-24 13:37:00,1598276220,21,26,0,0.075,0.05,33.9,55,W ,0.5
06195,성남시,41130,도촌3단지,2020-08-24 13:39:58,1598276398,20,25,0,0.019,0.041,31.7,61,NW,1
05140,성남시,41130,성남초교사거리,2020-08-24 13:41:53,1598276513,26,32,0,0,0.122,33.2,52.3,SW,2
07561,성남시,41130,이매촌한신.서현역.AK프라자,2020-08-24 13:34:02,1598276042,24,32,0,0.002,0.073,31.7,61.4,N ,0.7
05322,성남시,41130,위례새초롱유치원,2020-08-24 13:40:20,1598276420,22,27,0,0,0.075,33.1,55.3,S ,0.3
06210,성남시,41130,(구)단대동주민센터,2020-08-24 13:36:45,1598276205,19,23,0,0.045,0.025,32.2,56.4,E ,2
06070,성남시,41130,은행동현대아파트,2020-08-24 13:41:00,1598276460,16,19,0.255,0.047,0.097,34.1,51.8,W ,0.7
06206,성남시,41130,성남우체국,2020-08-24 13:40:47,1598276447,15,19,0.189,0,0.025,33.8,50.9,E ,3
07110,성남시,41130,주공4단지,2020-08-24 13:42:09,1598276529,18,23,0,0.078,0.052,32.3,57.2,S ,0.1
07624,성남시,41130,정자역,2020-08-24 13:41:13,1598276473,31,34,0,0,0.118,32.6,56.8,NW,0
07029,성남시,41130,로얄냉장,2020-08-24 13:38:00,1598276280,16,19,0,0,0.048,33.1,51.9,SW,1.7
05183,성남시,41130,송현초등학교.판교이지더원2단지,2020-08-24 13:43:52,1598276632,22,26,0.161,0,0.098,33.1,54.3,NE,0.7
07515,성남시,41130,뫼루니육교,2020-08-24 13:43:45,1598276625,16,20,0.247,0,0.096,32,55.3,W ,2.1
07400,성남시,41130,아름마을.방아다리사거리,2020-08-24 13:36:12,1598276172,26,31,0,0.005,0.06,31.9,58.5,N ,1.1
05070,성남시,41130,수진역.성호시장.성일중고입구,2020-08-24 13:35:10,1598276110,25,31,0.429,0.014,0.017,33,53,N ,3.2
07301,성남시,41130,송림고등학교.이매촌청구아파트.동신아파트,2020-08-24 13:39:43,1598276383,19,23,0,0,0.064,34.6,52.6,SE,0.2
07092,성남시,41130,주공7단지.한솔종합사회복지관,2020-08-24 13:42:07,1598276527,20,24,0.026,0.144,0.067,33.1,55.7,N ,0.3
07220,성남시,41130,평생학습원. 중앙도서관,2020-08-24 13:42:06,1598276526,15,18,0,0,0,31.9,56.8,SW,2.3
07163,성남시,41130,한솔마을청구아파트,2020-08-24 13:35:34,1598276134,20,26,0,0,0.053,32.3,56.7,S ,0
23305,남양주시,41360,금곡예비군훈련장.충일아파트,2020-08-24 13:38:33,1598276313,20,28,1.383,0.071,0.079,32.7,60.3,SW,0.2
49831,남양주시,41360,금강펜테리움 1차,2020-08-24 13:36:06,1598276166,20,25,0,0.001,0.125,32.4,54,E ,1.5
49689,남양주시,41360,도농고,2020-08-24 13:38:52,1598276332,19,22,0,0,0,32.4,53.8,S ,0.3
23087,남양주시,41360,롯데아파트.다산센트레빌,2020-08-24 13:36:22,1598276182,23,38,0,0,0.15,32.2,54.2,S ,0.5
49291,남양주시,41360,오남체육공원.대우푸르지오아파트,2020-08-24 13:42:07,1598276527,14,17,0,0,0.046,29.2,72.8,SE,0
23528,남양주시,41360,마석가구공단.천마산스키장입구,2020-08-24 13:41:36,1598276496,23,34,0,0,0.075,28.7,73.1,SE,0
49276,남양주시,41360,신동아아파트입구.한양병원,2020-08-24 13:42:49,1598276569,23,28,0.01,0.019,0.149,31.3,58.8,E ,1.1
23537,남양주시,41360,능내리봉안마을,2020-08-24 13:42:49,1598276569,20,25,0,0,0.084,31.9,63,NW,1.3
49174,남양주시,41360,롯데마트,2020-08-24 13:36:54,1598276214,15,19,0,0,0.126,32.7,54.4,W ,2.1
23935,남양주시,41360,진중삼거리,2020-08-24 13:40:15,1598276415,24,27,0,0.032,0.093,34.7,54.5,SW,0
23054,남양주시,41360,넉바위마을,2020-08-24 13:35:23,1598276123,18,21,0,0.049,0.103,31.9,58.2,W ,0.4
23220,남양주시,41360,지세마을,2020-08-24 13:38:25,1598276305,14,17,0,0,0.019,31.8,57,E ,1.3
23652,남양주시,41360,무량사,2020-08-24 13:41:21,1598276481,26,41,0,0.113,5.005,32.4,57,NE,0.5
49340,남양주시,41360,삼육대후문.논골.한화아파트,2020-08-24 13:34:12,1598276052,36,57,0,0.006,0.086,32.6,53.8,SE,2.3
23331,남양주시,41360,금곡동주민자치센터.장애인복지관.보훈회관.금강.명지A,2020-08-24 13:38:09,1598276289,0,0,0,0.115,0.113,31.7,58.6,W ,1.7
23363,남양주시,41360,홍유릉.금곡동주민센터.남양주고용복지플러스센터,2020-08-24 13:37:46,1598276266,18,23,0,0,0.053,32.6,61.7,E ,0
49350,남양주시,41360,대원칸타빌.모아미래도.유승한내들이든힐즈,2020-08-24 13:43:24,1598276604,18,21,0,0,0.05,32.6,58.5,NW,0.3
23336,남양주시,41360,인정프린스아파트.구금곡역,2020-08-24 13:41:42,1598276502,21,27,0,0.386,0.104,32.4,59.3,SE,0.3
23378,남양주시,41360,금곡역.어룡마을입구.주유소,2020-08-24 13:43:22,1598276602,24,38,0,0,0.057,31.1,60.3,S ,0.3
23917,남양주시,41360,별내면사무소.에코랜드입구,2020-08-24 13:34:14,1598276054,23,31,0,0.032,0.088,32.1,56.7,E ,0.6
23875,남양주시,41360,와부읍사무소,2020-08-24 13:35:20,1598276120,19,24,0.48,0,0,32.9,64.7,W ,0
23149,남양주시,41360,법골,2020-08-24 13:38:00,1598276280,22,26,0,0.075,0.072,31.6,58.1,SE,0.6
49205,남양주시,41360,신영지웰.금강아파트.진접초교,2020-08-24 13:39:48,1598276388,18,22,0,0,0.052,30.7,62.3,SE,0.3
23022,남양주시,41360,청학리주공2.3단지.농협,2020-08-24 13:41:41,1598276501,26,33,0,0.046,0.062,32.2,58.6,S ,0
23969,남양주시,41360,"풍양중, 진접고등학교",2020-08-24 13:33:17,1598275997,18,22,0,0.018,0.097,32.3,59,SE,1
23964,남양주시,41360,신도브래뉴아파트,2020-08-24 13:43:11,1598276591,18,23,0.081,0,0.07,30.9,61.7,NE,0
23356,남양주시,41360,광릉내종점,2020-08-24 13:43:16,1598276596,40,47,0,0.001,0.099,32.7,54.1,NE,0
49201,남양주시,41360,경복대학,2020-08-24 13:43:43,1598276623,17,21,0,0,0.086,30,66.1,S ,0
49444,남양주시,41360,휴먼시아1636,2020-08-24 13:41:58,1598276518,18,27,0,0.003,0.059,30.7,62.6,SW,0
23313,남양주시,41360,신광마을입구.진접센트레빌시티,2020-08-24 13:37:24,1598276244,20,32,0,0,0.064,32.7,55.7,E ,0
23246,남양주시,41360,진접파출소.제일약국,2020-08-24 13:36:08,1598276168,18,23,0,0.041,0.092,32.9,52.2,NE,0.7
23806,남양주시,41360,중포마을.롯데택배,2020-08-24 13:39:52,1598276392,29,53,0,0,0.097,31.6,58,SE,0.3
23780,남양주시,41360,연평3리마을회관,2020-08-24 13:38:47,1598276327,24,32,0,0.006,0.076,31.5,60.6,NE,0.8
42703,남양주시,41360,주공3.4단지,2020-08-24 13:36:12,1598276172,16,18,0,0.023,0.129,30.7,62,W ,0.2
23063,남양주시,41360,퇴계원농협,2020-08-24 13:39:58,1598276398,22,29,0.11,0.359,0.495,33.9,50,S ,0
42123,남양주시,41360,퇴계원5리,2020-08-24 13:43:46,1598276626,15,17,0,0.033,0.063,31.8,57.6,NE,2.2
23888,남양주시,41360,대대울,2020-08-24 13:34:15,1598276055,27,44,0,0,0.077,32,58.2,E ,1
23481,남양주시,41360,호평동.대주신명아파트,2020-08-24 13:36:21,1598276181,17,22,0,0.031,0.104,30.2,62.3,NW,0
23698,남양주시,41360,호평고등학교.동원아파트,2020-08-24 13:41:30,1598276490,19,24,0,0.014,0.08,30.8,61.8,N ,0.2
23444,남양주시,41360,장내마을.평내파출소,2020-08-24 13:42:49,1598276569,11,12,0,0.087,0.121,30.7,63.8,E ,0.3
23485,남양주시,41360,대명루첸1차아파트,2020-08-24 13:38:52,1598276332,16,20,0,0,0,31,62.8,SE,0
49137,남양주시,41360,대주2차아파트앞,2020-08-24 13:42:13,1598276533,12,14,0,0,0.069,29.5,72.1,SW,0
23455,남양주시,41360,평내동 주민센터,2020-08-24 13:39:54,1598276394,21,27,0,0,0.156,30.8,60.9,SE,0
23448,남양주시,41360,장내중.평내고.남양주소방서,2020-08-24 13:41:10,1598276470,17,19,0,0.032,0.087,31.2,61.4,W ,0
23037,남양주시,41360,평양골,2020-08-24 13:40:41,1598276441,17,23,0,0,0.094,32.1,55.9,SW,0.9
05048,성남시,41130,중앙시장.농협,2020-08-24 13:39:18,1598276358,24,34,0.129,0,0.067,33.5,52.3,E ,0.7
07202,성남시,41130,성남아트센터.태원고교,2020-08-24 13:37:57,1598276277,27,37,0,0.015,0.108,34.3,51.9,E ,0.5
23391,남양주시,41360,성도아파트,2020-08-24 13:43:16,1598276596,11,13,0,0.066,0.109,31.3,58,E ,1.3
23340,남양주시,41360,여우내마을,2020-08-24 13:39:34,1598276374,20,25,0,0.018,0.036,32.4,54.7,NE,0.3
23463,남양주시,41360,평내신명.대주.금호아파트,2020-08-24 13:37:20,1598276240,26,35,0,0,0.092,29.5,68,NW,0
23822,남양주시,41360,웃고재,2020-08-24 13:43:42,1598276622,18,25,0,0,0.039,31.9,60.5,W ,0.3
23573,남양주시,41360,상계전마을.신도브래뉴2차아파트,2020-08-24 13:37:03,1598276223,20,26,0,0.1,0.089,32.3,56.1,SW,0.3
23664,남양주시,41360,지현마을.남양주공고,2020-08-24 13:40:04,1598276404,20,25,0,0.146,0,32.3,56.8,W ,0
49422,남양주시,41360,상하수도관리센터,2020-08-24 13:39:35,1598276375,22,27,0,0,0.037,32.3,55.4,N ,0.3
49502,남양주시,41360,배양1리 마을회관,2020-08-24 13:35:25,1598276125,17,26,0,0.003,0.088,33.6,56.9,W ,0
23600,남양주시,41360,현대아파트,2020-08-24 13:39:47,1598276387,15,19,0,0.005,0.067,32.4,61.3,SE,0.2
23548,남양주시,41360,가양초교,2020-08-24 13:39:31,1598276371,16,20,0,0.081,0.105,31.6,59.3,E ,0.4
49482,남양주시,41360,별내농협,2020-08-24 13:41:04,1598276464,21,26,0,0,0.096,33.3,52.2,E ,0.7
23431,남양주시,41360,건영아파트.우성아파트,2020-08-24 13:43:32,1598276612,14,18,0.005,0.019,0.066,32.4,61.6,SE,0
49456,남양주시,41360,구별내면사무소,2020-08-24 13:40:47,1598276447,17,20,0,0,0.096,32.3,57,NW,0.1
49567,남양주시,41360,예봉초등학교입구,2020-08-24 13:36:38,1598276198,17,20,0,0.069,0.076,32.7,56.9,SW,0
23264,남양주시,41360,예비군훈련장입구,2020-08-24 13:39:03,1598276343,18,22,0,0.008,0.128,31.6,63.7,S ,0
23374,남양주시,41360,주공3단지.덕소역,2020-08-24 13:35:57,1598276157,15,21,0,0.125,0.062,32.7,58.4,W ,0
23388,남양주시,41360,금곡동구종점,2020-08-24 13:33:52,1598276032,18,21,0,0,0.083,32.9,54.8,N ,0.2
23412,남양주시,41360,남양주시청,2020-08-24 13:40:13,1598276413,20,30,0,0,0.071,30.2,73.6,SE,0
23255,남양주시,41360,양정동주민센터,2020-08-24 13:34:54,1598276094,17,23,0,0,0.063,32.9,53.4,SW,0.6
23431,남양주시,41360,건영아파트.우성아파트,2020-09-08 03:22:31,1599535351,5,6,0.005,0.019,0.066,21.2,80.9,SE,0.3
49456,남양주시,41360,구별내면사무소,2020-09-08 03:29:47,1599535787,8,11,0,0,0.096,21.7,73.7,E ,3.5
49567,남양주시,41360,예봉초등학교입구,2020-09-08 03:25:39,1599535539,16,24,0,0.052,0.061,21.7,75.3,SW,0
23264,남양주시,41360,예비군훈련장입구,2020-09-08 03:28:07,1599535687,8,11,0,0.008,0.069,20.9,79.9,SW,1.9
23374,남양주시,41360,주공3단지.덕소역,2020-09-08 03:25:32,1599535532,5,9,0,0.056,0.062,21.4,78.2,NE,0
23388,남양주시,41360,금곡동구종점,2020-09-08 03:22:54,1599535374,10,14,0,0,0.083,21.7,75.5,SW,2.3
23412,남양주시,41360,남양주시청,2020-09-08 03:29:14,1599535754,8,11,0,0,0.071,21.3,78.1,SW,3
23255,남양주시,41360,양정동주민센터,2020-09-08 03:23:53,1599535433,9,15,0,0,0.063,21.7,75.8,SW,1.8
06007,성남시,41130,성남동성당,2020-09-08 03:23:21,1599535401,7,10,0,0,0.045,21.9,73.5,SW,1.3
49329,남양주시,41360,현암싸릿골,2020-09-08 03:30:19,1599535819,8,11,0,0,0.038,21.5,76.9,N ,3.4
49361,남양주시,41360,연평2리.와촌입구,2020-09-08 03:24:16,1599535456,11,15,0,0.04,0.029,21.3,79.3,S ,0.7
00006,성남시,41130,센코-국가측정비교-한국도로공사정자3동 행정복지센터,2020-09-08 03:27:18,1599535638,7,9,0,0,0.03,21.5,76.2,E ,1.3
00008,성남시,41130,센코-국가측정비교-운중동 행정복지센터,2020-09-08 03:25:53,1599535553,10,12,0,0,0.064,21.3,76.5,E ,1.3
00001,남양주시,41360,센코-국가측정비교-오남읍사무소,2020-09-08 03:22:13,1599535333,43,54,0,0.102,0.035,21.2,77.6,E ,0.7
00004,남양주시,41360,센코-국가측정비교-오남읍사무소,2020-09-08 03:23:19,1599535399,15,22,0,0.036,0.044,21.2,77.4,SW,2.3
00007,성남시,41130,센코-국가측정비교-상대원1동 행정복지센터,2020-09-08 03:26:10,1599535570,11,16,0,0,0.068,20.8,79.4,W ,0.5
00003,남양주시,41360,센코-국가측정비교-화도읍사무소,2020-09-08 03:24:36,1599535476,0,0,0,0.053,0.035,21.3,75.9,SW,2
00002,남양주시,41360,센코-국가측정비교-화도읍사무소,2020-09-08 03:22:17,1599535337,10,14,0.041,0.07,0.006,21.3,76.3,NW,0.5
05071,성남시,41130,신흥시장.수정보건소,2020-09-08 03:30:10,1599535810,9,10,0.597,0,0.086,21.9,73.9,N ,0.9
23991,남양주시,41360,휴먼시아6.7단지.가운중학교,2020-09-08 03:28:54,1599535734,10,14,0,1.983,0.105,22,73.6,SW,1.7
07487,성남시,41130,백현마을2단지,2020-09-08 03:22:47,1599535367,10,18,0,0.072,0.02,22,73.4,W ,1.8
23900,남양주시,41360,가운배수펌프장,2020-09-08 03:25:07,1599535507,5,7,0.098,0.061,0.108,21.9,75.7,SW,1
07053,성남시,41130,아데나펠리스,2020-09-08 03:23:59,1599535439,10,13,0,0,0.073,21.8,76.7,NE,0.7
23880,남양주시,41360,가운휴먼시아1.2.3.4단지,2020-09-08 03:22:00,1599535320,9,14,0,0.15,0.096,21.6,78.6,N ,0.4
07010,성남시,41130,운중고등학교,2020-09-08 03:28:15,1599535695,12,15,0.127,0.061,0.003,21.2,77.6,SW,0.9
23928,남양주시,41360,남양주제2청사.남양주경찰서,2020-09-08 03:22:26,1599535346,10,15,0,0.029,0.09,21.7,75.9,SW,2
05143,성남시,41130,가천대역.가천대학교,2020-09-08 03:22:29,1599535349,7,8,0,0.003,0.042,21.8,74.4,SW,1.1
49454,남양주시,41360,한림로얄팰리스.초석빌리지,2020-09-08 03:23:39,1599535419,10,14,0,0,0.187,20.5,84,SE,0
06043,성남시,41130,성남자이아파트,2020-09-08 03:23:33,1599535413,6,8,0.124,0.032,0.022,21.2,79,SW,0.7
23182,남양주시,41360,"남양주체육문화센터,에일린의뜰",2020-09-08 03:25:07,1599535507,8,11,0,0.017,0.09,21.6,75.8,SE,1.8
07492,성남시,41130,판교역.낙생육교.현대백화점,2020-09-08 03:24:00,1599535440,9,13,0,0,0.094,21.7,75,S ,1.5
23496,남양주시,41360,호평동주민센터,2020-09-08 03:30:44,1599535844,9,12,0,0,0.059,21,77.7,SW,1
23548,남양주시,41360,가양초교,2020-09-08 03:28:35,1599535715,9,13,0,0.081,0.105,20.9,79.6,NE,2.2
49482,남양주시,41360,별내농협,2020-09-08 03:30:09,1599535809,12,17,0,0,0.096,21.7,74.6,W ,2.6
00005,성남시,41130,센코-국가측정비교-단대동 행정복지센터,2020-09-08 03:27:53,1599535673,14,22,0,0.002,0.046,21.4,75.2,NE,3.2
06211,성남시,41130,상원초교.성남중앙병원.양지동청소년문화의집,2020-09-08 03:22:27,1599535347,11,17,0,0,0.049,21.6,76,E ,0.3
05092,성남시,41130,산성역.신흥주공아파트후문,2020-09-08 03:23:46,1599535426,9,14,0.493,0,0.077,20.9,80.6,W ,0.4
05001,성남시,41130,판교제2테크노밸리,2020-09-08 03:29:38,1599535778,10,13,0.156,0.131,0.034,20.6,82.7,SW,1.7
06083,성남시,41130,신구대학,2020-09-08 03:28:25,1599535705,8,9,0,0,0.045,21.6,75,E ,0.9
05080,성남시,41130,성남수정새마을금고.한국사회적기업진흥원,2020-09-08 03:29:15,1599535755,10,15,0,0,0.038,22,73.6,W ,0.3
06164,성남시,41130,모란역.모란시장입구.풍생중고교,2020-09-08 03:20:26,1599535226,8,11,0,0,0.036,22.3,73.2,NE,1.8
06155,성남시,41130,현대아파트.중원도서관,2020-09-08 03:20:12,1599535212,13,17,0,0,0.044,21.7,75.4,NW,1
07367,성남시,41130,"동부, 코오롱 아파트",2020-09-08 03:29:44,1599535784,14,20,0.082,0,0.017,21.7,77.6,SE,0
07020,성남시,41130,너더리육교,2020-09-08 03:24:58,1599535498,9,10,0,0,0.067,21.3,76.9,W ,1.6
06229,성남시,41130,성남시청,2020-09-08 03:26:57,1599535617,11,19,0,0,0.099,21.5,75.9,N ,2.2
07334,성남시,41130,청솔주공6단지,2020-09-08 03:24:15,1599535455,8,12,0,0,0.048,21.9,76.2,W ,0.8
07472,성남시,41130,분당중앙고앞,2020-09-08 03:23:55,1599535435,1,2,0.167,0,0.081,21.6,76.7,NE,3.4
07116,성남시,41130,분당도서관.계원예고.이마트,2020-09-08 03:24:39,1599535479,11,18,0.511,0.03,0.122,21.7,76.3,NW,0
06102,성남시,41130,"선경아파트, 성남중원경찰서",2020-09-08 03:20:29,1599535229,9,12,0,0,0.046,20.9,77.9,SE,0.2
07505,성남시,41130,성내미육교.판교박물관,2020-09-08 03:22:50,1599535370,11,17,0.036,0.044,0.07,21.4,76.2,SE,0.2
