버스정류장코드,시도명,시군코드,버스정류장명,측정시간,측정원본시간,미세먼지PM2점5측정값,미세먼지PM10측정값,일산화탄소측정값,이산화황측정값,이산화질소측정값,외부온도측정값,외부습도측정값,풍향,풍속측정값
23496,남양주시,41360,호평동주민센터,2020-08-28 14:21:23,1598624483,24,33,0,0,0.104,25.9,92.1,N ,0
23573,남양주시,41360,상계전마을.신도브래뉴2차아파트,2020-08-28 14:26:46,1598624806,22,25,0,0.1,0.099,27.3,87.4,SE,0.7
23664,남양주시,41360,지현마을.남양주공고,2020-08-28 14:29:47,1598624987,19,26,0,0.146,0,30,74.8,NW,1.1
00005,성남시,41130,센코-국가측정비교-단대동 행정복지센터,2020-08-28 14:28:31,1598624911,16,20,0,0.054,0.087,32.3,68.6,S ,1.3
06211,성남시,41130,상원초교.성남중앙병원.양지동청소년문화의집,2020-08-28 14:23:14,1598624594,19,24,0,0,0.049,30.5,74,NW,0.4
05092,성남시,41130,산성역.신흥주공아파트후문,2020-08-28 14:24:33,1598624673,13,16,0.493,0,0.077,29.9,79.5,W ,1.3
05001,성남시,41130,판교제2테크노밸리,2020-08-28 14:20:19,1598624419,20,28,0.156,0.131,0.034,29.3,92.3,SW,0
06083,성남시,41130,신구대학,2020-08-28 02:39:09,1598582349,16,18,0.145,0,0.091,26.2,92.3,SW,0.2
05080,성남시,41130,성남수정새마을금고.한국사회적기업진흥원,2020-08-28 14:20:03,1598624403,19,25,0,0,0.079,31.4,71.6,SE,0.1
06164,성남시,41130,모란역.모란시장입구.풍생중고교,2020-08-28 14:21:08,1598624468,20,27,0,0,0.086,30.6,74.5,NE,0.7
06155,성남시,41130,현대아파트.중원도서관,2020-08-28 14:20:53,1598624453,20,23,0,0.015,0.103,31.5,72.3,NW,0
07367,성남시,41130,"동부, 코오롱 아파트",2020-08-28 14:27:14,1598624834,20,25,0.193,0,0.025,31.1,75.1,SE,0
07020,성남시,41130,너더리육교,2020-08-28 14:25:39,1598624739,17,20,0,0,0.067,31.4,76.6,W ,0.5
06229,성남시,41130,성남시청,2020-08-28 14:27:43,1598624863,14,18,0,0,0.099,32.3,70.7,N ,0.4
07205,성남시,41130,새마을연수원입구,2020-08-28 14:23:52,1598624632,16,17,0,0.031,0.084,31.9,70.6,W ,0
05326,성남시,41130,위례중앙초등학교,2020-08-28 14:23:45,1598624625,18,23,0,0.074,0.012,30.6,76,E ,0.9
07444,성남시,41130,장안중학교후문,2020-08-28 14:29:24,1598624964,21,27,0.139,0,0.039,31.1,74.1,N ,0
06049,성남시,41130,상대원고개,2020-08-28 14:20:20,1598624420,18,23,0.645,0.004,0.117,31.7,71,W ,0.3
07103,성남시,41130,대원사거리.까치마을,2020-08-28 14:26:39,1598624799,18,22,0.214,0,0,30.5,77,W ,0.5
07060,성남시,41130,하얀마을.구미도서관,2020-08-28 14:27:38,1598624858,15,18,0.396,0.003,0.103,31.3,73.4,W ,0.7
07270,성남시,41130,목련마을한신아파트,2020-08-28 14:22:50,1598624570,17,20,0.282,0,0.127,31.4,73.7,N ,0
07045,성남시,41130,미금역.2001아울렛,2020-08-28 14:22:05,1598624525,15,18,0.46,0,0.054,30.9,73.7,W ,1.9
05033,성남시,41130,성남수정경찰서,2020-08-28 14:26:32,1598624792,21,26,0,0,0.04,30.8,71.5,NW,0.3
07059,성남시,41130,농수산물센터,2020-08-28 14:21:19,1598624479,17,20,0.161,0,0.091,31.6,70,S ,0.7
05073,성남시,41130,태평제일교회,2020-08-28 14:27:43,1598624863,18,26,0,0.029,0.088,31,74.1,E ,1.3
05036,성남시,41130,모란고개,2020-08-28 14:22:46,1598624566,17,20,0,0,0.068,30.9,72.7,E ,0.6
07155,성남시,41130,푸른마을,2020-08-28 14:26:22,1598624782,18,25,0,0.002,0.065,32.1,68.6,NW,0
07502,성남시,41130,판교도서관.판교청소년수련관,2020-08-28 14:25:12,1598624712,15,17,0.344,0,0.054,30.4,81.8,E ,0.3
07498,성남시,41130,삼평교,2020-08-28 14:20:10,1598624410,17,21,0.136,0,0.117,33,73.2,W ,0.4
06349,성남시,41130,상대원1동행정복지센터,2020-08-28 14:27:13,1598624833,14,17,0,0,0.056,31.4,71.9,SW,0.2
05135,성남시,41130,을지대학교.생활관,2020-08-28 14:21:48,1598624508,20,24,0,0.029,0.047,30,76.2,N ,0
05008,성남시,41130,고등동우체국,2020-08-28 14:28:39,1598624919,22,29,0,0.065,0.149,31.7,75.9,SW,0.2
05142,성남시,41130,복정초등학교,2020-08-28 14:29:54,1598624994,15,18,0,0,0.076,29.7,82.3,SE,0.4
07283,성남시,41130,영남아파트,2020-08-28 14:28:05,1598624885,17,20,0,0.014,0.064,31.3,76.2,W ,0.2
05021,성남시,41130,신촌동앞,2020-08-28 14:26:44,1598624804,20,25,0,0.075,0.05,30.5,81.1,NW,0.6
06195,성남시,41130,도촌3단지,2020-08-28 14:29:49,1598624989,14,17,0,0.019,0.041,32.4,72.4,S ,0.3
05140,성남시,41130,성남초교사거리,2020-08-28 14:21:35,1598624495,21,26,0,0.009,0.13,31.2,73.9,S ,0.7
07561,성남시,41130,이매촌한신.서현역.AK프라자,2020-08-28 14:23:46,1598624626,16,19,0,0.002,0.073,31.1,75.7,NE,0.1
